"Part";"Value";"Device";"Package";"Description";"DISTR";"MF";"MPN";"OC_FARNELL";"ORDERNR";"POWER_SLEEP_MODE";"TP_SIGNAL_NAME";
"C1";"10uF";"CSTD";"C0805";"";"";"TE CONNECTIVITY";"1825002-1";"2452336";"";"";"";
"C2";"10uF";"CSTD";"C0805";"";"";"TE CONNECTIVITY";"1825002-1";"2452336";"";"";"";
"C3";"10uF";"CSTD";"C0805";"";"";"TE CONNECTIVITY";"1825002-1";"2452336";"";"";"";
"C4";"100nF";"CSTD";"C0805";"";"";"";"";"unknown";"";"";"";
"C5";"100nF";"CSTD";"C0805";"";"";"";"";"unknown";"";"";"";
"C6";"100nF";"CSTD";"C0805";"";"";"";"";"unknown";"";"";"";
"C7";"100nF";"CSTD";"C0805";"";"";"";"";"unknown";"";"";"";
"C8";"100nF";"CSTD";"C0805";"";"";"";"";"unknown";"";"";"";
"C9";"10uF";"CSTD";"C0805";"";"";"TE CONNECTIVITY";"1825002-1";"2452336";"";"";"";
"C10";"100nF";"CSTD";"C0805";"";"";"";"";"unknown";"";"";"";
"C11";"15pF";"CSTD";"C0805";"";"";"TE CONNECTIVITY";"1825002-1";"2452336";"";"";"";
"C12";"15pF";"CSTD";"C0805";"";"";"TE CONNECTIVITY";"1825002-1";"2452336";"";"";"";
"C13";"15pF";"CSTD";"C0805";"";"";"TE CONNECTIVITY";"1825002-1";"2452336";"";"";"";
"C14";"15pF";"CSTD";"C0805";"";"";"TE CONNECTIVITY";"1825002-1";"2452336";"";"";"";
"C15";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"unknown";"";"";"";
"C16";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"unknown";"";"";"";
"C17";"100p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"unknown";"";"";"";
"C18";"100p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"unknown";"";"";"";
"C19";"47n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"unknown";"";"";"";
"C20";"47n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"unknown";"";"";"";
"C21";"10nF";"CSTD";"C0805";"";"";"";"";"unknown";"";"";"";
"C22";"4u7";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";
"C23";"100n";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";
"C24";"100n";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";
"C25";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";
"CAN0_ON";"";"M02PAD";"1X02";"";"";"";"";"unknown";"";"";"";
"CAN1_ON";"";"M02PAD";"1X02";"";"";"";"";"unknown";"";"";"";
"D1";"NUP2105LT1G|SOT23";"NUP2105LT1G|SOT23";"SOT23";"DIODE, CAN BUS Protector NUP2105LT1G";"";"";"";"unknown";"";"";"";
"D2";"NUP2105LT1G|SOT23";"NUP2105LT1G|SOT23";"SOT23";"DIODE, CAN BUS Protector NUP2105LT1G";"";"";"";"unknown";"";"";"";
"D3";"NUP2105LT1G|SOT23";"NUP2105LT1G|SOT23";"SOT23";"DIODE, CAN BUS Protector NUP2105LT1G";"";"";"";"unknown";"";"";"";
"D4";"NUP2105LT1G|SOT23";"NUP2105LT1G|SOT23";"SOT23";"DIODE, CAN BUS Protector NUP2105LT1G";"";"";"";"unknown";"";"";"";
"H1";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";
"H2";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";
"H3";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";
"H4";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";
"IC1";"XMC4200";"XMC4100_4200_LQFP-64";"INF-PG-LQFP-64-19-5800X5800T57PRIMARY";"";"";"";"";"unknown";"";"";"";
"IC2";"SN65HVD230D";"SN65HVD230D";"SO08";"3v3 powered CAN Transeiver by TI with Slope control and reference voltage";"";"";"";"unknown";"";"no";"";
"IC3";"SN65HVD230D";"SN65HVD230D";"SO08";"3v3 powered CAN Transeiver by TI with Slope control and reference voltage";"";"";"";"unknown";"";"no";"";
"IC4";"REF19X";"REF19X";"SO08";"";"";"";"";"";"";"";"";
"L1";"ACT45B-510-2P-TL003";"ACT45B-510-2P-TL003";"ACT45B";"Common mode choke SMD 51uH 200mA CAN bus";"RS-Components";"";"";"unknown";"774-0544";"";"";
"L2";"ACT45B-510-2P-TL003";"ACT45B-510-2P-TL003";"ACT45B";"Common mode choke SMD 51uH 200mA CAN bus";"RS-Components";"";"";"unknown";"774-0544";"";"";
"L3";"100n";"LSTD";"R0805";"";"";"";"";"";"";"";"";
"LED1";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"unknown";"";"";"";
"LED2";"+3V3";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"unknown";"";"";"";
"LED3";"VAREF";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"unknown";"";"";"";
"Q1";"4MHZ";"CRYSTAL0305+1MM";"0305+1MM";"CRYSTAL";"";"";"";"unknown";"";"";"";
"Q2";"32.768KHz";"CRYSTAL0305+1MM";"0305+1MM";"CRYSTAL";"";"";"";"unknown";"";"";"";
"R1";"510R";"R";"R0805@1";"";"";"";"";"unknown";"";"";"";
"R2";"0R";"R";"R0805@1";"";"";"";"";"unknown";"";"";"";
"R3";"4k7";"R";"R0805@1";"";"";"";"";"unknown";"";"";"";
"R4";"4k7";"R";"R0805@1";"";"";"";"";"unknown";"";"";"";
